F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_line,reason,scoring_strategy,status,subject,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit
49,255,statement,data-flow,SelectionSortFive_M4,SUR,19,,density_log,evaluated,SelectionSort,3,TRUE,FALSE,5,TRUE,FALSE,7,TRUE,FALSE
43,261,statement,data-flow,SelectionSortFive_M5,SUR,45,,density_log,evaluated,SelectionSort,5,TRUE,FALSE,7,TRUE,FALSE,11,TRUE,FALSE
61,243,statement,data-flow,SelectionSortFive_M6,SUR,64,,density_log,evaluated,SelectionSort,4,TRUE,FALSE,6,TRUE,FALSE,8,TRUE,FALSE
1,31,condition,control-flow,WaterBillCaculator_M1,BOR,5,,density_log,evaluated,WaterBillCaculator,3,FALSE,FALSE,5,FALSE,FALSE,7,FALSE,FALSE
27,4,condition,control-flow,WaterBillCaculator_M2,ROR,9,,density_log,evaluated,WaterBillCaculator,3,FALSE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
20,11,condition,control-flow,WaterBillCaculator_M3,ROR,11,,density_log,evaluated,WaterBillCaculator,3,TRUE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
29,2,statement,data-flow,WaterBillCaculator_M4,CR,10,,density_log,evaluated,WaterBillCaculator,3,TRUE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
27,4,statement,data-flow,WaterBillCaculator_M5,CR,12,,density_log,evaluated,WaterBillCaculator,3,FALSE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
25,2,statement,data-flow,WaterBillCaculator_M6,SUR,16,,density_log,evaluated,WaterBillCaculator,3,TRUE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
1,204,condition,control-flow,SubtractLoop_M1,BOR,3,,density_log,evaluated,SubtractLoop,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
1,203,condition,control-flow,SubtractLoop_M2,BOR,6,,density_log,evaluated,SubtractLoop,2,TRUE,TRUE,2,TRUE,TRUE,3,TRUE,TRUE
0,205,condition,control-flow,SubtractLoop_M3,ROR,11,no_tbfv_failures,density_log,not_detected,SubtractLoop,,,,,,,,,
100,105,statement,data-flow,SubtractLoop_M4,AOR,14,,density_log,evaluated,SubtractLoop,2,FALSE,FALSE,5,TRUE,TRUE,7,TRUE,TRUE
50,105,statement,data-flow,SubtractLoop_M5,SUR,15,,density_log,evaluated,SubtractLoop,2,FALSE,FALSE,5,TRUE,TRUE,7,TRUE,TRUE
100,105,statement,data-flow,SubtractLoop_M6,AOR,20,,density_log,evaluated,SubtractLoop,3,TRUE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
62,26,condition,control-flow,MaxOfFive_M1,ROR,3,,density_log,evaluated,MaxOfFive,4,TRUE,TRUE,6,TRUE,TRUE,10,TRUE,TRUE
62,16,condition,control-flow,MaxOfFive_M2,ROR,13,,density_log,evaluated,MaxOfFive,2,FALSE,FALSE,6,FALSE,TRUE,10,TRUE,TRUE
0,167,condition,control-flow,MaxOfFive_M3,BOR,43,no_tbfv_failures,density_log,not_detected,MaxOfFive,,,,,,,,,
0,148,statement,data-flow,MaxOfFive_M4,SUR,5,no_tbfv_failures,density_log,not_detected,MaxOfFive,,,,,,,,,
0,187,statement,data-flow,MaxOfFive_M5,SUR,40,no_tbfv_failures,density_log,not_detected,MaxOfFive,,,,,,,,,
219,0,statement,data-flow,MaxOfFive_M6,RVR,48,,density_log,evaluated,MaxOfFive,2,TRUE,FALSE,6,TRUE,FALSE,10,TRUE,TRUE
60,183,condition,control-flow,MedianOfSix_M1,ROR,3,,density_log,evaluated,MedianOfSix,2,TRUE,FALSE,6,TRUE,TRUE,10,TRUE,TRUE
120,72,condition,control-flow,MedianOfSix_M2,ROR,19,,density_log,evaluated,MedianOfSix,2,FALSE,FALSE,6,FALSE,TRUE,10,FALSE,TRUE
0,384,condition,control-flow,MedianOfSix_M3,BOR,51,no_tbfv_failures,density_log,not_detected,MedianOfSix,,,,,,,,,
42,216,statement,data-flow,MedianOfSix_M4,SUR,25,,density_log,evaluated,MedianOfSix,4,TRUE,TRUE,8,TRUE,TRUE,10,TRUE,TRUE
24,144,statement,data-flow,MedianOfSix_M5,SUR,37,,density_log,evaluated,MedianOfSix,4,TRUE,TRUE,6,TRUE,TRUE,10,TRUE,TRUE
