cases,cct_hit_count,cct_hit_rate,cct_minus_sfl_hit_rate,cct_strategy,cct_top_r,fault_category,max_budget_lines,mean_budget_lines,median_budget_lines,sfl_budget_hit_count,sfl_budget_hit_rate,sfl_strategy
65,49,0.7538461538461538,-0.20000000000000007,aggregated.composite.condition_or_interval,3,statement,13,9.323076923076924,8,62,0.9538461538461539,sfl.ochiai
65,36,0.5538461538461539,-0.16923076923076918,aggregated.composite.condition_or_partitioned_edge_region,1,statement,5,3.1538461538461537,3,47,0.7230769230769231,sfl.ochiai
65,44,0.676923076923077,-0.18461538461538463,aggregated.composite.condition_or_partitioned_edge_region,2,statement,9,5.846153846153846,6,56,0.8615384615384616,sfl.ochiai
65,48,0.7384615384615385,-0.1384615384615384,aggregated.composite.condition_or_partitioned_edge_region,3,statement,13,8.2,7,57,0.8769230769230769,sfl.ochiai
65,38,0.5846153846153846,-0.15384615384615385,aggregated.composite.condition_or_seed_interval,1,statement,5,3.292307692307692,3,48,0.7384615384615385,sfl.ochiai
65,46,0.7076923076923077,-0.15384615384615385,aggregated.composite.condition_or_seed_interval,2,statement,9,6.4,6,56,0.8615384615384616,sfl.ochiai
65,47,0.7230769230769231,-0.23076923076923084,aggregated.composite.condition_or_seed_interval,3,statement,13,9.215384615384615,8,62,0.9538461538461539,sfl.ochiai
65,45,0.6923076923076923,-0.07692307692307698,aggregated.composite.condition_or_seed_partitioned_interval,1,statement,6,3.769230769230769,4,50,0.7692307692307693,sfl.ochiai
65,53,0.8153846153846154,-0.04615384615384621,aggregated.composite.condition_or_seed_partitioned_interval,2,statement,10,6.769230769230769,6,56,0.8615384615384616,sfl.ochiai
65,54,0.8307692307692308,-0.12307692307692308,aggregated.composite.condition_or_seed_partitioned_interval,3,statement,15,9.6,8,62,0.9538461538461539,sfl.ochiai
65,10,0.15384615384615385,-0.4307692307692308,aggregated.composite.condition_or_seed_shared_interval,1,statement,2,1.7384615384615385,2,38,0.5846153846153846,sfl.ochiai
65,10,0.15384615384615385,-0.5230769230769231,aggregated.composite.condition_or_seed_shared_interval,2,statement,4,2.753846153846154,3,44,0.676923076923077,sfl.ochiai
65,10,0.15384615384615385,-0.5846153846153846,aggregated.composite.condition_or_seed_shared_interval,3,statement,5,3.7846153846153845,4,48,0.7384615384615385,sfl.ochiai
65,38,0.5846153846153846,-0.0461538461538461,aggregated.interval.edge_divergence_gated,1,statement,4,2.3692307692307693,2,41,0.6307692307692307,sfl.ochiai
65,48,0.7384615384615385,-0.03076923076923077,aggregated.interval.edge_divergence_gated,2,statement,7,4.492307692307692,4,50,0.7692307692307693,sfl.ochiai
65,49,0.7538461538461538,-0.13846153846153852,aggregated.interval.edge_divergence_gated,3,statement,10,6.415384615384616,5,58,0.8923076923076924,sfl.ochiai
65,38,0.5846153846153846,-0.0461538461538461,aggregated.interval.edge_divergence_sibling_exclusive,1,statement,4,2.292307692307692,2,41,0.6307692307692307,sfl.ochiai
65,46,0.7076923076923077,-0.06153846153846154,aggregated.interval.edge_divergence_sibling_exclusive,2,statement,7,4.4,4,50,0.7692307692307693,sfl.ochiai
65,47,0.7230769230769231,-0.15384615384615385,aggregated.interval.edge_divergence_sibling_exclusive,3,statement,10,6.3076923076923075,5,57,0.8769230769230769,sfl.ochiai
65,10,0.15384615384615385,-0.16923076923076924,aggregated.interval.edge_divergence_sibling_shared,1,statement,1,0.7384615384615385,1,21,0.3230769230769231,sfl.ochiai
65,10,0.15384615384615385,-0.18461538461538463,aggregated.interval.edge_divergence_sibling_shared,2,statement,2,0.7538461538461538,1,22,0.3384615384615385,sfl.ochiai
65,10,0.15384615384615385,-0.18461538461538463,aggregated.interval.edge_divergence_sibling_shared,3,statement,2,0.8769230769230769,1,22,0.3384615384615385,sfl.ochiai
65,36,0.5538461538461539,-0.0461538461538461,aggregated.interval.partitioned_edge_region,1,statement,4,2.1538461538461537,2,39,0.6,sfl.ochiai
65,44,0.676923076923077,-0.0461538461538461,aggregated.interval.partitioned_edge_region,2,statement,7,3.8461538461538463,4,47,0.7230769230769231,sfl.ochiai
65,48,0.7384615384615385,-0.10769230769230764,aggregated.interval.partitioned_edge_region,3,statement,10,5.292307692307692,4,55,0.8461538461538461,sfl.ochiai
