F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_line,reason,scoring_strategy,status,subject,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit
24,27,statement,data-flow,BoundedDivisorCountClassifier_M5,AOR,12,,density_log,evaluated,BoundedDivisorCountClassifier,2,False,False,4,True,False,6,True,True
15,37,statement,data-flow,BoundedDivisorCountClassifier_M6,CR,20,,density_log,evaluated,BoundedDivisorCountClassifier,2,True,True,4,True,True,6,True,True
1,101,condition,control-flow,BoundedPerfectSquareLoop_M1,BOR,3,,density_log,evaluated,BoundedPerfectSquareLoop,2,True,True,2,True,True,2,True,True
2,101,condition,control-flow,BoundedPerfectSquareLoop_M2,BOR,7,,density_log,evaluated,BoundedPerfectSquareLoop,2,True,False,4,True,True,5,True,True
2,2,condition,control-flow,BoundedPerfectSquareLoop_M3,ROR,8,,density_log,evaluated,BoundedPerfectSquareLoop,2,False,False,4,True,True,6,True,True
1,102,statement,data-flow,BoundedPerfectSquareLoop_M4,CR,6,,density_log,evaluated,BoundedPerfectSquareLoop,2,False,True,4,True,True,4,True,True
5,53,statement,data-flow,BoundedPerfectSquareLoop_M5,AOR,11,,density_log,evaluated,BoundedPerfectSquareLoop,2,False,True,4,True,True,6,True,True
90,13,statement,data-flow,BoundedPerfectSquareLoop_M6,CR,13,,density_log,evaluated,BoundedPerfectSquareLoop,2,True,True,4,True,True,6,True,True
1,128,condition,control-flow,BoundedPopcountDensity_M1,BOR,3,,density_log,evaluated,BoundedPopcountDensity,2,True,True,2,True,True,2,True,True
73,57,condition,control-flow,BoundedPopcountDensity_M2,ROR,9,,density_log,evaluated,BoundedPopcountDensity,2,True,True,4,True,True,7,True,True
35,95,condition,control-flow,BoundedPopcountDensity_M3,BOR,17,,density_log,evaluated,BoundedPopcountDensity,2,True,True,5,True,True,6,True,True
91,39,statement,data-flow,BoundedPopcountDensity_M4,AOR,10,,density_log,evaluated,BoundedPopcountDensity,3,True,True,4,True,True,7,True,True
19,6,statement,data-flow,BoundedPopcountDensity_M5,AOR,12,,density_log,evaluated,BoundedPopcountDensity,3,True,True,4,True,True,7,True,True
29,101,statement,data-flow,BoundedPopcountDensity_M6,CR,20,,density_log,evaluated,BoundedPopcountDensity,2,True,True,5,True,True,6,True,True
1,50,condition,control-flow,BoundedProperDivisorParity_M1,BOR,3,,density_log,evaluated,BoundedProperDivisorParity,2,True,True,2,True,True,2,True,True
25,27,condition,control-flow,BoundedProperDivisorParity_M2,BOR,8,,density_log,evaluated,BoundedProperDivisorParity,2,True,False,5,True,True,8,True,True
50,2,condition,control-flow,BoundedProperDivisorParity_M3,ROR,14,,density_log,evaluated,BoundedProperDivisorParity,3,False,False,6,True,True,7,True,True
43,9,statement,data-flow,BoundedProperDivisorParity_M4,AOR,10,,density_log,evaluated,BoundedProperDivisorParity,3,True,True,4,True,True,7,True,True
0,49,statement,data-flow,BoundedProperDivisorParity_M5,AOR,12,no_tbfv_failures,density_log,not_detected,BoundedProperDivisorParity,,,,,,,,,
29,23,statement,data-flow,BoundedProperDivisorParity_M6,CR,17,,density_log,evaluated,BoundedProperDivisorParity,2,True,True,5,True,True,8,True,True
1,38,condition,control-flow,BoundedSquareFreeClassifier_M1,BOR,3,,density_log,evaluated,BoundedSquareFreeClassifier,2,True,True,2,True,True,2,True,True
4,32,condition,control-flow,BoundedSquareFreeClassifier_M2,BOR,8,,density_log,evaluated,BoundedSquareFreeClassifier,2,True,False,5,True,True,7,True,True
9,31,condition,control-flow,BoundedSquareFreeClassifier_M3,ROR,9,,density_log,evaluated,BoundedSquareFreeClassifier,2,True,True,5,True,True,7,True,True
29,11,statement,data-flow,BoundedSquareFreeClassifier_M4,SUR,10,,density_log,evaluated,BoundedSquareFreeClassifier,3,True,True,4,True,True,6,True,True
4,14,statement,data-flow,BoundedSquareFreeClassifier_M5,AOR,12,,density_log,evaluated,BoundedSquareFreeClassifier,2,False,False,4,True,True,7,True,True
29,11,statement,data-flow,BoundedSquareFreeClassifier_M6,CR,17,,density_log,evaluated,BoundedSquareFreeClassifier,3,False,True,5,True,True,6,True,True
